번호,급,지역,기관명,홈페이지,설립,주소
1,고등학교,목포시,목포고등학교,https://mokpo.hs.jne.kr,공립,전라남도 목포시 산정로224번길 11 (용당동)
2,고등학교,목포시,목포여자고등학교,https://mokpo-g.hs.jne.kr/,공립,전라남도 목포시 청호로 34 . 목포여자고등학교 (대성동)
3,고등학교,목포시,목포제일여자고등학교,https://jeil-g.hs.jne.kr,공립,전라남도 목포시 삼향천로 85 . 목포제일여자고등학교 (옥암동)
4,고등학교,여수시,여수고등학교,https://yeosu.hs.jne.kr,공립,전라남도 여수시 공화남3길 10 (수정동. 여수고등학교)
5,고등학교,여수시,여수여자고등학교,https://ysgh.hs.jne.kr,공립,전라남도 여수시 관문1길 41 . 여수여자고등학교 (관문동)
6,고등학교,순천시,순천고등학교,https://suncheon.hs.jne.kr,공립,전라남도 순천시 우석로 191 (인제동)
7,고등학교,순천시,순천여자고등학교,https://suncheon-g.hs.jne.kr,공립,전라남도 순천시 저전길 54 (저전동)
8,고등학교,나주시,나주고등학교,https://naju.hs.jne.kr,공립,전라남도 나주시 나주천2길 26 (교동)
9,고등학교,나주시,봉황고등학교,https://bonghwang.hs.jne.kr/,공립,전라남도 나주시 월정5길 22 . 봉황고등학교 (빛가람동)
10,고등학교,여수시,여천고등학교,https://yeocheon.hs.jne.kr,공립,전라남도 여수시 가곡길 63 . 여천고등학교 (선원동)
11,고등학교,여수시,부영여자고등학교,https://buyeong.hs.jne.kr,공립,전라남도 여수시 안산1길 172-9 . 부영여자고등학교 (안산동)
12,고등학교,광양시,광양백운고등학교,https://gwangyangbaekun.hs.jne.kr,공립,전라남도 광양시 중마로 250 (중동.광양백운고등학교)
13,고등학교,광양시,광양고등학교,https://gwangyang.hs.jne.kr,공립,전라남도 광양시 봉강면 매천로 667 (봉강면)
14,고등학교,광양시,광양여자고등학교,https://gwangyangg.hs.jne.kr,공립,전라남도 광양시 광양읍 인덕로 1039 (광양읍)
15,고등학교,여수시,여수화양고등학교,https://hwayang.hs.jne.kr,공립,전라남도 여수시 화양면 화동로 203 . 여수화양고등학교 (화양면. 여수화양고등학교)
16,고등학교,여수시,여남고등학교,https://yeonam.hs.jne.kr,공립,전라남도 여수시 남면 우실해안길 5 (남면. 여남중고등학교)
